slug,question,volume,liquidity,endDate,active,closed
will-china-invades-taiwan-before-gta-vi-716,Will China invades Taiwan before GTA VI?,1461461.163048,101231.0836,2026-07-31,True,False
will-11-fed-rate-cuts-happen-in-2026,Will 11 Fed rate cuts happen in 2026?,442790.98763199965,98716.77646,2026-12-31,True,False
will-one-battle-after-another-win-best-picture-at-the-98th-academy-awards,Will One Battle After Another win Best Picture at the 98th Academy Awards?,1893918.4467029911,92310.9022,2026-03-15,True,False
will-the-golden-state-warriors-win-the-nba-western-conference-finals,Will the Golden State Warriors win the NBA Western Conference Finals?,7181566.885174985,89314.85025,2026-06-16,True,False
will-10-fed-rate-cuts-happen-in-2026,Will 10 Fed rate cuts happen in 2026?,418880.56580999965,80555.93747,2026-12-31,True,False
will-12-or-more-fed-rate-cuts-happen-in-2026,Will 12 or more Fed rate cuts happen in 2026?,1098453.6595490105,78178.99006,2026-12-31,True,False
will-china-blockade-taiwan-by-june-30,Will China blockade Taiwan by June 30?,671148.7557170026,77559.3961,2026-06-30,True,False
will-4-fed-rate-cuts-happen-in-2026,Will 4 Fed rate cuts happen in 2026?,382669.5553470002,76857.61412,2026-12-31,True,False
will-7-fed-rate-cuts-happen-in-2026,Will 7 Fed rate cuts happen in 2026?,422358.44578500075,74263.42874,2026-12-31,True,False
will-3-fed-rate-cuts-happen-in-2026,Will 3 Fed rate cuts happen in 2026?,395571.4058019997,72976.4414,2026-12-31,True,False
will-5-fed-rate-cuts-happen-in-2026,Will 5 Fed rate cuts happen in 2026?,351127.27102600026,72885.29139,2026-12-31,True,False
will-1-fed-rate-cut-happen-in-2026,Will 1 Fed rate cut happen in 2026?,583431.5175370004,72448.6168,2026-12-31,True,False
will-anthony-edwards-win-the-20252026-nba-mvp,Will Anthony Edwards win the 2025–2026 NBA MVP?,1219455.84811,70797.65976,2026-06-10,True,False
will-9-fed-rate-cuts-happen-in-2026,Will 9 Fed rate cuts happen in 2026?,388604.17750099907,69650.71418,2026-12-31,True,False
will-8-fed-rate-cuts-happen-in-2026,Will 8 Fed rate cuts happen in 2026?,523528.95038600103,68042.34707,2026-12-31,True,False
will-timothe-chalamet-win-best-actor-at-the-98th-academy-awards,Will Timothée Chalamet win Best Actor at the 98th Academy Awards?,959968.8594019829,68038.5134,2026-03-15,True,False
will-2-fed-rate-cuts-happen-in-2026,Will 2 Fed rate cuts happen in 2026?,539972.4077490009,67818.4376,2026-12-31,True,False
russia-ukraine-ceasefire-before-gta-vi-554,Russia-Ukraine Ceasefire before GTA VI?,1365080.0582809974,63976.653,2026-07-31,True,False
zelenskyy-out-as-ukraine-president-before-2027,Zelenskyy out as Ukraine president by end of 2026?,1894726.842910013,61885.2545,2026-12-31,True,False
will-michael-b-jordan-win-best-actor-at-the-98th-academy-awards,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,777456.7670159995,60519.96158,2026-03-15,True,False
will-chlo-zhao-win-best-director-at-the-98th-academy-awards,Will Chloé Zhao win Best Director at the 98th Academy Awards?,224281.963929,60366.66041,2026-03-15,True,False
will-frankenstein-win-best-cinematography-at-the-98th-academy-awards,Will Frankenstein win Best Cinematography at the 98th Academy Awards?,95503.0703089999,60062.15685,2026-03-15,True,False
will-no-fed-rate-cuts-happen-in-2026,Will no Fed rate cuts happen in 2026?,1786366.535048995,56535.32129,2026-12-31,True,False
will-sinners-win-best-picture-at-the-98th-academy-awards,Will Sinners win Best Picture at the 98th Academy Awards?,1649307.1103429918,56043.70308,2026-03-15,True,False
will-wagner-moura-win-best-actor-at-the-98th-academy-awards,Will Wagner Moura win Best Actor at the 98th Academy Awards?,471877.3645220001,52607.87825,2026-03-15,True,False
will-paul-thomas-anderson-win-best-director-at-the-98th-academy-awards,Will Paul Thomas Anderson win Best Director at the 98th Academy Awards?,618172.2566290011,49078.4178,2026-03-15,True,False
will-ethan-hawke-win-best-actor-at-the-98th-academy-awards,Will Ethan Hawke win Best Actor at the 98th Academy Awards?,651065.7305749997,47392.1261,2026-03-15,True,False
will-leonardo-dicaprio-win-best-actor-at-the-98th-academy-awards,Will Leonardo DiCaprio win Best Actor at the 98th Academy Awards?,765513.2205180024,46924.04315,2026-03-15,True,False
will-joachim-trier-win-best-director-at-the-98th-academy-awards,Will Joachim Trier win Best Director at the 98th Academy Awards?,312835.5243679997,44554.84272,2026-03-15,True,False
will-josh-safdie-win-best-director-at-the-98th-academy-awards,Will Josh Safdie win Best Director at the 98th Academy Awards?,555736.6085810004,42772.13763,2026-03-15,True,False
will-russia-invade-a-nato-country-by-june-30-2026,"Will Russia invade a NATO country by June 30, 2026?",2066900.5629180016,37308.30267,2025-12-31,True,False
will-sean-penn-win-best-supporting-actor-at-the-98th-academy-awards,Will Sean Penn win Best Supporting Actor at the 98th Academy Awards?,360836.87517899973,35250.8314,2026-03-15,True,False
will-renate-reinsve-win-best-actress-at-the-98th-academy-awards,Will Renate Reinsve win Best Actress at the 98th Academy Awards?,150529.77792699987,34660.26732,2026-03-15,True,False
us-recession-by-end-of-2026,US recession by end of 2026?,345951.65779300116,34094.9294,2027-01-31,True,False
will-rose-byrne-win-best-actress-at-the-98th-academy-awards,Will Rose Byrne win Best Actress at the 98th Academy Awards?,160225.28573899972,29304.80622,2026-03-15,True,False
will-trump-visit-china-by-march-31,Will Trump visit China by March 31?,1268449.2822009998,27544.0425,2025-10-31,True,False
will-kon-knueppel-win-the-202526-nba-rookie-of-the-year-award,Will Kon Knueppel win the 2025–26 NBA Rookie of the Year award?,404086.0027590004,26609.77342,2026-05-18,True,False
will-one-battle-after-another-win-best-adapted-screenplay-at-the-98th-academy-awards,Will One Battle After Another win Best Adapted Screenplay at the 98th Academy Awards?,102432.55626,25431.8373,2026-03-15,True,False
will-sinners-win-best-original-screenplay-at-the-98th-academy-awards,Will Sinners win Best Original Screenplay at the 98th Academy Awards?,121849.7326129999,25135.69496,2026-03-15,True,False
will-ryan-coogler-win-best-director-at-the-98th-academy-awards,Will Ryan Coogler win Best Director at the 98th Academy Awards?,302858.1950380001,24862.86362,2026-03-15,True,False
will-train-dreams-win-best-adapted-screenplay-at-the-98th-academy-awards,Will Train Dreams win Best Adapted Screenplay at the 98th Academy Awards?,47170.51037800001,24751.51655,2026-03-15,True,False
will-bugonia-win-best-adapted-screenplay-at-the-98th-academy-awards,Will Bugonia win Best Adapted Screenplay at the 98th Academy Awards?,41460.54252200002,23538.96534,2026-03-15,True,False
will-elle-fanning-win-best-supporting-actress-at-the-98th-academy-awards,Will Elle Fanning win Best Supporting Actress at the 98th Academy Awards?,125589.32964499986,22636.38666,2026-03-15,True,False
nba-2025-26-pacific-division-winner-golden-state-warriors,Will the Golden State Warriors win the 2025–2026 NBA Pacific Division?,126016.82753799995,21903.54897,2026-04-12,True,False
will-stellan-skarsgrd-win-best-supporting-actor-at-the-98th-academy-awards,Will Stellan Skarsgård win Best Supporting Actor at the 98th Academy Awards?,2943754.2882559556,21532.2082,2026-03-15,True,False
ukraine-election-held-by-june-30-2026-465-757,"Ukraine election held by June 30, 2026?",193675.03863399988,21076.0448,2025-12-31,True,False
will-dylan-harper-win-the-202526-nba-rookie-of-the-year-award,Will Dylan Harper win the 2025–26 NBA Rookie of the Year award?,132291.74209300004,20965.79549,2026-05-18,True,False
will-derik-queen-win-the-202526-nba-rookie-of-the-year-award,Will Derik Queen win the 2025–26 NBA Rookie of the Year award?,63777.65050200003,20655.84233,2026-05-18,True,False
will-frankenstein-win-best-adapted-screenplay-at-the-98th-academy-awards,Will Frankenstein win Best Adapted Screenplay at the 98th Academy Awards?,39112.923206000036,19944.51656,2026-03-15,True,False
will-jessie-buckley-win-best-actress-at-the-98th-academy-awards,Will Jessie Buckley win Best Actress at the 98th Academy Awards?,241159.23758599986,19453.49804,2026-03-15,True,False
will-marty-supreme-win-best-cinematography-at-the-98th-academy-awards,Will Marty Supreme win Best Cinematography at the 98th Academy Awards?,93892.94988699994,19193.78736,2026-03-15,True,False
will-walter-clayton-jr-win-the-202526-nba-rookie-of-the-year-award-262-418,Will Walter Clayton Jr. win the 2025–26 NBA Rookie of the Year award?,56587.436292000006,18832.64423,2026-05-18,True,False
will-movie-a-win-best-supporting-actor-at-the-98th-academy-awards-551,Will Benicio Del Toro win Best Supporting Actor at the 98th Academy Awards?,152552.18595799975,18112.90401,2026-03-15,True,False
will-inga-ibsdotter-lilleaas-win-best-supporting-actress-at-the-98th-academy-awards,Will Inga Ibsdotter Lilleaas win Best Supporting Actress at the 98th Academy Awards?,106492.580083,17765.88779,2026-03-15,True,False
will-charl-schwartzel-win-the-2026-masters-tournament,Will Charl Schwartzel win the 2026 Masters tournament?,54020.009662000055,17684.55609,2026-04-13,True,False
will-emma-stone-win-best-actress-at-the-98th-academy-awards,Will Emma Stone win Best Actress at the 98th Academy Awards?,139715.22866999992,17370.62762,2026-03-15,True,False
will-tre-johnson-win-the-202526-nba-rookie-of-the-year-award,Will Tre Johnson win the 2025–26 NBA Rookie of the Year award?,55034.16961699997,17370.14154,2026-05-18,True,False
will-jeremiah-fears-win-the-202526-nba-rookie-of-the-year-award,Will Jeremiah Fears win the 2025–26 NBA Rookie of the Year award?,75941.99746500001,17184.13575,2026-05-18,True,False
will-vj-edgecombe-win-the-202526-nba-rookie-of-the-year-award,Will V.J. Edgecombe win the 2025–26 NBA Rookie of the Year award?,93287.46786300004,16987.82744,2026-05-18,True,False
will-blue-moon-win-best-original-screenplay-at-the-98th-academy-awards-476,Will Blue Moon win Best Original Screenplay at the 98th Academy Awards?,28768.62985100001,16978.19325,2026-03-15,True,False
will-it-was-just-an-accident-win-best-original-screenplay-at-the-98th-academy-awards,Will It Was Just an Accident win Best Original Screenplay at the 98th Academy Awards?,57046.572264000024,16854.14648,2026-03-15,True,False
will-kate-hudson-win-best-actress-at-the-98th-academy-awards,Will Kate Hudson win Best Actress at the 98th Academy Awards?,195942.20377899992,16411.44453,2026-03-15,True,False
will-ukraine-recapture-crimean-territory-by-june-30-2026,"Will Ukraine recapture Crimean territory by June 30, 2026?",34921.54037399999,15866.84518,2026-06-30,True,False
nato-x-russia-military-clash-by-march-31-2026,"NATO x Russia military clash by March 31, 2026?",385560.04676899995,15632.90868,2026-03-31,True,False
will-marty-supreme-win-best-film-editing-at-the-98th-academy-awards,Will Marty Supreme win Best Film Editing at the 98th Academy Awards?,69839.96562299995,15394.86075,2026-03-15,True,False
will-sentimental-value-win-best-original-screenplay-at-the-98th-academy-awards,Will Sentimental Value win Best Original Screenplay at the 98th Academy Awards?,47399.25650599996,15313.23843,2026-03-15,True,False
will-hamnet-win-best-adapted-screenplay-at-the-98th-academy-awards,Will Hamnet win Best Adapted Screenplay at the 98th Academy Awards?,89404.18533099991,15074.33083,2026-03-15,True,False
will-one-battle-after-another-win-best-production-design-at-the-98th-academy-awards,Will One Battle After Another win Best Production Design at the 98th Academy Awards?,24651.660772999996,14921.7916,2026-03-15,True,False
will-jacob-elordi-win-best-supporting-actor-at-the-98th-academy-awards,Will Jacob Elordi win Best Supporting Actor at the 98th Academy Awards?,142032.3179550001,14520.31538,2026-03-15,True,False
will-khaman-maluach-win-the-202526-nba-rookie-of-the-year-award-241-825-233,Will Khaman Maluach win the 2025–26 NBA Rookie of the Year award?,52321.13437199995,14475.18367,2026-05-18,True,False
will-jase-richardson-win-the-202526-nba-rookie-of-the-year-award-435,Will Jase Richardson win the 2025–26 NBA Rookie of the Year award?,35300.32278200003,14407.10645,2026-05-18,True,False
will-collin-murray-boyles-win-the-202526-nba-rookie-of-the-year-award-233-167,Will Collin Murray-Boyles win the 2025–26 NBA Rookie of the Year award?,44013.913538999994,14129.26635,2026-05-18,True,False
will-wunmi-mosaku-win-best-supporting-actress-at-the-98th-academy-awards,Will Wunmi Mosaku win Best Supporting Actress at the 98th Academy Awards?,415848.1721360004,13807.09994,2026-03-15,True,False
will-the-golden-state-warriors-make-the-nba-playoffs-223,Will the Golden State Warriors make the NBA Playoffs?,33844.15989899998,13774.1346,2026-04-12,True,False
will-ace-bailey-win-the-202526-nba-rookie-of-the-year-award,Will Ace Bailey win the 2025–26 NBA Rookie of the Year award?,40043.60189500003,13426.33459,2026-05-18,True,False
will-train-dreams-win-best-cinematography-at-the-98th-academy-awards,Will Train Dreams win Best Cinematography at the 98th Academy Awards?,98691.80273599988,13204.30864,2026-03-15,True,False
will-delroy-lindo-win-best-supporting-actor-at-the-98th-academy-awards,Will Delroy Lindo win Best Supporting Actor at the 98th Academy Awards?,156927.88919699984,13137.80805,2026-03-15,True,False
will-marty-supreme-win-best-original-screenplay-at-the-98th-academy-awards,Will Marty Supreme win Best Original Screenplay at the 98th Academy Awards?,56924.75088800002,12981.59092,2026-03-15,True,False
will-sentimental-value-win-best-film-editing-at-the-98th-academy-awards,Will Sentimental Value win Best Film Editing at the 98th Academy Awards?,23453.372626999982,12712.82738,2026-03-15,True,False
will-cedric-coward-win-the-202526-nba-rookie-of-the-year-award,Will Cedric Coward win the 2025–26 NBA Rookie of the Year award?,77521.18531299998,12375.03797,2026-05-18,True,False
will-trump-and-putin-meet-next-in-ukraine-328-474,Will Trump and Putin meet next in Ukraine?,106021.67963399997,11635.0942,2026-06-30,True,False
natoeu-troops-fighting-in-ukraine-in-june-30-2026,"NATO/EU troops fighting in Ukraine in June 30, 2026?",76406.55706800011,11115.90762,2025-12-31,True,False
will-teyana-taylor-win-best-supporting-actress-at-the-98th-academy-awards,Will Teyana Taylor win Best Supporting Actress at the 98th Academy Awards?,153001.14465299997,10475.1701,2026-03-15,True,False
will-amy-madigan-win-best-supporting-actress-at-the-98th-academy-awards,Will Amy Madigan win Best Supporting Actress at the 98th Academy Awards?,278019.1300309993,10294.88889,2026-03-15,True,False
ukraine-election-called-by-june-30-2026-392,"Ukraine election called by June 30, 2026?",193291.0112260003,9904.5825,2025-12-31,True,False
will-hamnet-win-best-costume-design-at-the-98th-academy-awards,Will Hamnet win Best Costume Design at the 98th Academy Awards?,36711.535649000005,9671.87072,2026-03-15,True,False
will-frankenstein-win-best-production-design-at-the-98th-academy-awards,Will Frankenstein win Best Production Design at the 98th Academy Awards?,123224.08601700002,9608.9613,2026-03-15,True,False
will-cooper-flagg-win-the-202526-nba-rookie-of-the-year-award,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,162368.814792,9518.4969,2026-05-18,True,False
will-trump-and-putin-meet-next-in-china-586-328,Will Trump and Putin meet next in China?,74274.44680199999,9306.78154,2026-06-30,True,False
will-trump-and-putin-meet-next-in-russia-594-493-482,Will Trump and Putin meet next in Russia?,27535.378510999988,9223.96892,2026-06-30,True,False
will-one-battle-after-another-win-best-film-editing-at-the-98th-academy-awards,Will One Battle After Another win Best Film Editing at the 98th Academy Awards?,128782.30216199988,8995.2742,2026-03-15,True,False
ukraine-recognizes-russian-sovereignty-over-its-territory-by-june-30-2026,"Ukraine recognizes Russian sovereignty over its territory by June 30, 2026?",161635.4845360001,8561.78709,2025-12-31,True,False
will-hamnet-win-best-production-design-at-the-98th-academy-awards,Will Hamnet win Best Production Design at the 98th Academy Awards?,24488.087831999997,8347.3466,2026-03-15,True,False
will-sinners-win-best-film-editing-at-the-98th-academy-awards,Will Sinners win Best Film Editing at the 98th Academy Awards?,64347.335165000055,8298.87057,2026-03-15,True,False
will-openai-launch-a-new-consumer-hardware-product-by-march-31-2026,"Will OpenAI launch a new consumer hardware product by March 31, 2026?",94428.63756100004,7231.44735,,True,False
will-sinners-win-best-cinematography-at-the-98th-academy-awards,Will Sinners win Best Cinematography at the 98th Academy Awards?,277276.1690449999,6954.515,2026-03-15,True,False
will-f1-the-movie-win-best-film-editing-at-the-98th-academy-awards,Will F1: The Movie win Best Film Editing at the 98th Academy Awards?,131460.13047899987,6621.18352,2026-03-15,True,False
will-frankenstein-win-best-costume-design-at-the-98th-academy-awards,Will Frankenstein win Best Costume Design at the 98th Academy Awards?,116751.73008199989,6578.3747,2026-03-15,True,False
will-one-battle-after-another-win-best-cinematography-at-the-98th-academy-awards,Will One Battle After Another win Best Cinematography at the 98th Academy Awards?,280416.9997680003,6462.9554,2026-03-15,True,False
will-ukraine-qualify-for-the-2026-fifa-world-cup,Will Ukraine qualify for the 2026 FIFA World Cup?,137530.16221900014,4847.8795,2026-04-12,True,False
will-frankenstein-win-best-makeup-and-hairstyling-at-the-98th-academy-awards,Will Frankenstein win Best Makeup and Hairstyling at the 98th Academy Awards?,59584.55982199995,4529.79904,2026-03-15,True,False
